city_name,country,latitude,longitude,temperature_c,feels_like_c,temp_min_c,temp_max_c,humidity,pressure_hpa,weather_main,weather_description,wind_speed_ms,clouds_percent,timestamp
Lagos,NG,6.5833,3.75,27.59,30.97,27.59,27.59,79,1014,Rain,light rain,2.64,90,2026-07-14 10:00:16
Accra,GH,5.5,0,25.90,26.66,25.90,25.90,81,1015,Rain,light rain,4.96,100,2026-07-14 10:00:16
Nairobi,KE,-1.2921,36.8219,23.62,23.19,23.62,23.62,44,1016,Clouds,few clouds,3.58,13,2026-07-14 10:00:16
London,GB,51.5085,-0.1257,22.55,22.61,22.21,22.94,67,1021,Clouds,scattered clouds,2.24,34,2026-07-14 10:00:16
